Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
CÔNG TY CỔ PHẦN PHÁT TRIỂN XÂY DỰNG VÀ NỘI THẤT PHÚ HƯNG,Chuyên môn Kỹ sư xây dựng Xây dựng Bất động sản Thiết kế / Kiến trúc,2 năm,Hà Nội,25-99 nhân viên,13 - 20 triệu,"Thực hiện các công việc của Phòng Thi công: Kiểm tra hiện trạng, lập tiến độ thi công, giám sát thi công và quản lý thợ tại công trình.
Kiểm soát chất lượng thầu phụ.
Làm khối lượng thanh quyết toán, biên bản nghiệm thu, hồ sơ hoàn công.
Có thể giám sát công trình tại các tỉnh khi cần thiết (phụ cấp công trình đi tỉnh)
Cụ thể công việc sẽ trao đổi thêm khi phỏng vấn.","Yêu cầu bằng cấp (tối thiểu): Cao Đẳng
Yêu cầu công việc:
Tốt nghiệp Đại học/ Cao đẳng ngành Kiến trúc – Nội thất, Xây dựng hoặc các ngành liên quan.
Có ít nhất 2 năm kinh nghiệm ở vị trí tương đương trong lĩnh vực Thi công nội thất các công trình: Nhà ở, chung cư, khách sạn, trung tâm thương mại, toà nhà văn phòng, resort...
Hiểu biết về các vật liệu xây dựng.
Có khả năng thực hiện bản vẽ hoàn công.
Sử dụng thành thạo MS Office, Autocad.
Có kỹ năng làm việc nhóm, hướng dẫn thợ làm triển khai đúng kỹ thuật lắp đặt.
Ưu tiên ứng viên có kinh nghiệm quản lý.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3ERgw2eOv1YshVIi3o4885MxjTmZJbNU_1744340761____7c501baeb6ae5fd5b9c14b6b605b2a03.png,https://www.topcv.vn/viec-lam/ky-su-xay-dung-giam-sat-thi-cong-2-nam-kinh-nghiem-tai-ha-noi-thu-nhap-den-20-trieu/1715605.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN THƯƠNG MẠI DẦU KHÍ AN DƯƠNG,Chuyên môn Giám sát bảo trì tòa nhà Công nghệ kỹ thuật,2 năm,Hà Nội,100-499 nhân viên,13 - 15 triệu,"- Tham gia các công tác xây dựng và tổ chức triển khai quản lý tài sản, máy móc thiết bị và công cụ dụng cụ của công ty;
- Quản lý vận hành Tòa nhà văn phòng tại 3-4N7B KĐT Trung Hòa Nhân Chính;
- Lên kế hoạch đảm bảo công tác vận hành, bảo trì, bảo dưỡng các hệ thống kỹ thuật tòa nhà;
- Trực tiếp thực hiện các công việc kiểm tra, sửa chữa, bảo dưỡng các hệ thống kỹ thuật của tòa nhà văn phòng tại 3-4N7B KĐT Trung Hòa Nhân Chính: Trạm biến áp và nguồn động lực, hệ thống tủ phân phối điện, máy phát điện, chiller, cấp thoát nước,.. Giám sát tiêu thụ điện, giám sát việc thực hiện bảo vệ vệ sinh môi trường, an ninh trật tự, vệ sinh an toàn lao động và phòng chống cứu nạn cứu hộ;
- Trực vận hành các hệ thống thiết bị khác;
- Tham gia tìm kiếm, đàm phán và giám sát các hợp đồng bảo trì bảo dưỡng thiết bị;","- Nam từ 25 - 35 tuổi;
- Tốt nghiệp trung cấp, cao đẳng, đại học chuyên ngành điện, điện lạnh, cơ khí, xây dựng;
- Kinh nghiệm tối thiểu 2 năm làm việc tại vị trí nhân viên kỹ thuật, bảo trì tòa nhà, chung cư, cao ốc hoặc làm các công việc có liên quan đến linh vực trên;
- Nghiêm túc, lịch sự, chuyên nghiệp;
- Chịu được áp lực cao trong công việc;
- Mong muốn làm việc gắn bó lâu dài với Công ty;
- Trung thực, nhanh nhẹn, có tinh thần trách nhiệm cao,cẩn thận, tỉ mỉ.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3ecb6e7c2a8787a91daeacfbd2e851fa-648fceee11ed9.jpg,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-van-hanh-toa-nha-thu-nhap-15-trieu-tu-2-nam-kinh-nghiem-thanh-xuan-ha-noi/1729443.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN KỸ THUẬT VÀ CÔNG NGHỆ TKD,Chuyên môn Kỹ sư cơ điện Xây dựng Điện / Điện tử / Điện lạnh Cơ khí / Tự động hóa,1 năm,Hà Nội,25-99 nhân viên,9 - 20 triệu,"• Kỹ sư công trường, làm các ông tác shop, hồ sơ thanh toán, giám sát...
• Thực hiện các công việc theo phân công của quản lý, chỉ huy trưởng.
• Lĩnh vực: điện, cấp thoát nước, điều hoà không khí và thông gió","• Tốt nghiệp hệ chính quy, ngành điện, cấp thoát nước, điều hoà thông gió, hoặc tương đương
• Có kinh nghiệm về hiện trường, shop, hồ sơ thanh quyết toán
• Có thái độ cầu thị, suy nghĩ tích cực, trách nhiệm với công việc, cẩn thận
• Kinh nghiệm: 1 - 10 năm
• Sử dụng tốt AutoCAD",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/CS129SynrcuZUPI4S1Zohylwr9tXtMJd_1747113718____5dd20e265dddb6e4cc53e73337493a3c.jpg,https://www.topcv.vn/viec-lam/ky-su-co-dien-ky-su-cong-truong-tai-ha-noi/1727785.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
Công ty Cổ phần Brasler Việt Nam,Chuyên môn Kỹ sư cơ điện Sản xuất Điện / Điện tử / Điện lạnh Cơ khí / Tự động hóa,1 năm,Hà Nội & 2 nơi khác,100-499 nhân viên,12 - 15 triệu,"• Tham gia sữa chữa, lắp đặt mới, bảo trì các máy móc trong nhà máy
• Tham gia cải tiến và tối ưu máy móc hiện có .
• Theo dõi, đánh giá chất lượng máy móc .
• Thiết lập, duy trì các hồ sơ tài liệu của bộ phận (về bảo dưỡng , vận hành , quy trình...) theo tiêu chuẩn của hệ thống ISO
• Thực hiện các công việc khác theo yêu cầu của Quản lý","• Tốt nghiệp trung cấp hoặc cao đẳng chuyên nghành, điện, điện tử, điện công nghiệp, điện lạnh.
• Tối thiểu 1 năm kinh nghiệm làm việc trong nhà máy sản xuất lĩnh vực bảo trì cơ, điện.
• Nam giới, tuổi từ 27 đến 40 sức khỏe tốt, trung thực và có trách nhiệm.
• Có khả năng làm việc độc lập và làm việc theo nhóm",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-brasler-viet-nam-6177a6b82d4cd.jpg,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-dien-thu-nhap-12-15-trieu-gia-lam-ha-noi/1728220.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ BẤT ĐỘNG SẢN TOÀN CẦU G-HOME,Chuyên môn Sales Bất động sản/Xây dựng khác Telesales B2B B2C Xây dựng Bất động sản Tài chính Có hỗ trợ Data,1 năm,Hà Nội,25-99 nhân viên,5 - 70 triệu,"Chủ động khai thác khách hàng từ nhiều kênh (online, offline) và tiếp cận khách hàng tiềm năng do công ty cung cấp.
Thực hiện các cuộc gọi, gặp gỡ trực tiếp khách hàng để tư vấn và giới thiệu sản phẩm bất động sản.
Phân tích nhu cầu và tư vấn cho khách hàng lựa chọn sản phẩm phù hợp.
Thực hiện các thủ tục pháp lý và hỗ trợ khách hàng trong quá trình giao dịch.
Chăm sóc khách hàng sau giao dịch, duy trì mối quan hệ lâu dài.
Báo cáo kết quả công việc định kỳ cho quản lý.","Tốt nghiệp CĐ/ĐH
Có laptop cá nhân
Độ tuổi từ 22t - 40t
Ưu tiên những bạn có kinh nghiệm trong lĩnh vực BĐS.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681c8ac01eed81746700992.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-bds-co-luong-cung-tai-ha-noi/1720835.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY TNHH HỖ TRỢ TƯ VẤN DỊCH VỤ E-HOME,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales Bán hàng tại cửa hàng/showroom B2B B2C B2G Bán lẻ - Hàng tiêu dùng - FMCG Bất động sản Marketing / Quảng cáo Có hỗ trợ Data Phát âm chuẩn Giọng miền Nam Giọng miền Trung Giọng miền Bắc Diễn đạt trôi chảy,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,8 - 30 triệu,"- Đăng bài tìm kiếm khách hàng trên các nền tảng social dựa trên dự án công ty có sẵn.
- Giới thiệu tư vấn căn hộ phù hợp với nhu cầu của khách hàng từ rổ hàng sẵn có của công ty.
- Hỗ trợ Khách Hàng xem phòng trực tiếp tại các dự án.
- Hỗ trợ khách hàng hoàn thành hợp đồng thuê
- Tư vấn khách hàng online theo nhu cầu Khách Hàng.","- Có các thiết bị cơ bản như xe máy, laptop, smartphone
- Tinh thần nhiệt huyết tốt, chăm chỉ, kiên trì
- Không yêu cầu kinh nghiệm
- Học sinh, sinh viên
- Không Tuyển từ sinh năm 99 trở lên
- Được phụ cấp toàn bộ 100% chi phí marketing
- Đồng phục, thẻ đeo, tab chứa hồ sơ free 100%
- Các hoạt động đội nhóm trong tháng free 100%",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-ho-tro-tu-van-dich-vu-e-home-234eb27c2a6e1587a16047489656f7d7-66a35d6bb4f3b.jpg,https://www.topcv.vn/viec-lam/thuc-tap-sinh-cho-thue-can-ho-dich-vu-chung-cu-mini-thoi-gian-tu-do-parttime-hcm-luong-tu-4-12-trieu-uu-tien-sinh-vien/1417349.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN DKRA VEGA,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales B2B B2C B2G Bất động sản Có hỗ trợ Data Diễn đạt trôi chảy,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,40 - 100 triệu,"Tham gia triển khai kế hoạch kinh doanh theo định hướng của công ty - Tổng đại lý phân phối độc quyền các dự án;
Tư vấn, chăm sóc và hỗ trợ khách hàng trong quá trình tìm hiểu, giao dịch sản phẩm bất động sản, như: (được đào tạo khi onboard & được quản lý/đồng nghiệp hỗ trợ)
Dự án The Emerald 68, CitiGrand, Picity Sky Park, Phố Thương Mại Đức Hoà Central, The Sholi, đất nền Phú Lợi,...
Các dự án đất nền và hệ thống hơn 5.000 căn hộ tại TP.HCM.
Được nhận data nóng từ đội ngũ marketing, truyền thông để thúc đẩy hiệu quả kinh doanh theo từng giai đoạn của dự án.
Có Quản lý và đồng đội luôn kề vai sát cánh – cùng tư vấn, chốt deal, đồng hành trong từng giao dịch
Báo cáo tiến độ và kết quả công việc định kỳ cho cấp quản lý.","Là sinh viên năm cuối (đang thực tập hoặc chờ bằng) hoặc đã tốt nghiệp Trung cấp, Cao đẳng, Đại học, có thể làm việc full-time.
Đam mê kinh doanh, có tinh thần cầu tiến và mong muốn thu nhập cao.
Có kỹ năng giao tiếp tốt, biết cách lắng nghe và xử lý tình huống linh hoạt.
Có điện thoại, xe máy và laptop để hỗ trợ công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dkra-viet-nam-dkra-vietnam-5f0e7bbd0fd4d.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-ban-hang-nhan-thuc-tap-sinh-sinh-vien-cho-bang-luong-cung-tu-6-5-15-trieu-hoa-hong-upto-4-2-khong-ap-kpi-ho-tro-data-marketing-dao-tao-bai-ban/1696095.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,Chuyên môn Sales bất động sản/Môi giới bất động sản B2C,Không yêu cầu,Hà Nội,1000+ nhân viên,Từ 36 triệu,"- Quản lý kho hàng có sẵn hơn 30.000 căn nhà, đầy đủ các phân khúc và đa dạng về loại hình.
- Tìm kiếm khách hàng, tư vấn, chào bán cho khách hàng về các sản phẩm BĐS phù hợp có sẵn trong kho hàng.
- Chi tiết trao đổi thêm khi phỏng vấn","- Yêu cầu: KHÔNG YÊU CẦU KINH NGHIỆM, TUỔI TÁC.
- Chăm chỉ, cầu tiến
- Có đam mê về Bất Động Sản.
- Có xe máy, smartphone",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67fdb67d346c31744680573.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-tu-do-thoi-gian-thu-nhap-tu-36-trieu-khong-y-c-kinh-nghiem/1693394.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
Công Ty Cổ Phần Dịch Vụ Địa Ốc PQR,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales B2C Bảo hiểm Bất động sản Tài chính,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,Tới 100 triệu,"- Tiếp xúc và tư vấn khách hàng về các dự án, sản phẩm bất động sản mà công ty PQR đang phân phối.
- Cung cấp thông tin chi tiết về các sản phẩm BĐS như giá cả, vị trí, tiện ích, và các ưu đãi.
- Thực hiện các buổi tham quan thực tế cho khách hàng để họ có thể đánh giá sản phẩm.
- Tìm kiếm và duy trì mối quan hệ với khách hàng cũ, cũng như phát triển mối quan hệ với khách hàng tiềm năng.
- Hỗ trợ khách hàng trong suốt quá trình giao dịch, giải đáp các thắc mắc và hỗ trợ các thủ tục liên quan đến việc mua bán bất động sản.
- Báo cáo kết quả công việc và tình hình kinh doanh cho trưởng bộ phận hoặc quản lý trực tiếp.","- Ứng viên chưa có kinh nghiệm nhưng có năng lực giao tiếp, đàm phán tốt và đam mê với ngành bất động sản vẫn có thể được đào tạo và xem xét.
- Ứng viên tốt nghiệp trung cấp, cao đẳng hoặc đại học các ngành như Kinh tế, Quản trị kinh doanh, Marketing, Tài chính hoặc các ngành có liên quan.
- Sức khỏe tốt, kiên trì, ham học hỏi, cầu tiến và có mong muốn đột phá thu nhập",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dich-vu-dia-oc-pqr-5b7a3e5f1d13e_rs.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-tu-van-bat-dong-san-khong-yeu-cau-kinh-nghiem-luong-cung-5-6-trieu-hoa-hong-cao/1720056.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
THIEN KHOI GROUP JOINT STOCK COMPANY,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales B2C Có hỗ trợ Data,Không yêu cầu,Hồ Chí Minh,500-1000 nhân viên,12 - 35 triệu,"Khảo sát nguồn nhà có sẵn của công ty tại các quận (chủ động thời gian)
Nghe điện thoại, tư vấn, giới thiệu sản phẩm, hỗ trợ khách hàng xem nhà
Học hỏi và tham gia các khóa đào tạo nâng cao kỹ năng tư vấn BĐS (học online hoặc offline)
Phối hợp với nhóm và quản lý để chốt giao dịch nhanh chóng.
ĐỊA ĐIỂM LÀM VIỆC Quận 3, Tân Bình, Bình Tân, Quận 7, Gò Vấp (có nhiều văn phòng để lựa chọn).","Độ tuổi: Từ 22 tuổi trở lên
Có phương tiện đi lại, laptop hoặc smartphone
Đam mê kiếm tiền, kiên trì, ham học hỏi, mong muốn đột phá thu nhập
Không yêu cầu kinh nghiệm, được đào tạo chuyên sâu chỉ trong 1 tuần, hỗ trợ đồng hành xuyên suốt",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/lKTDLhJ6MpVIE3wpKaEbBS6gPpS5QPq1_1741400995____902d3e1221c6d78951c91a6bbca04992.png,https://www.topcv.vn/viec-lam/cong-tac-vien-nhan-vien-tu-van-bds-nha-pho-tu-do-thoi-gian-cap-chung-chi-hanh-nghe-tai-cac-quan-hcm/1709334.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,Chuyên môn Sales bất động sản/Môi giới bất động sản B2C Có hỗ trợ Data,Không yêu cầu,Hồ Chí Minh,10000+ nhân viên,Thoả thuận,"- Đăng tin, tương tác với khách mời .
- Tìm kiếm khách hàng có nhu cầu mua nhà phố (được đào tạo, cung cấp các công cụ tìm kiếm)
- Tư vấn, giới thiệu sản phẩm phù hợp với nhu cầu của khách hàng, đàm phán thương lượng khách-chủ
- Tất cả đều được đào tạo, hỗ trợ sát sao","- Ứng viên từ 22- 45 tuổi KHÔNG YÊU CẦU KINH NGHIỆM, KHÔNG YÊU CẦU BẰNG CẤP ĐƯỢC ĐÀO TẠO MIỄN PHÍ
- Tìm kiếm thu nhập từ nghề tay trái
- Có phương tiện đi lại.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/VoXl7CJvGGXga2JwESdCT7eJKryuAABS_1739787561____39fba99b1611ec16cf64bb0aef102913.png,https://www.topcv.vn/viec-lam/cong-tac-vien-sales-bds-nha-pho-lam-viec-tai-cac-quan-tp-hcm-tu-do-thoi-gian/1700906.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN THƯƠNG MẠI H2T HÀ NỘI,Chuyên môn Giám sát dự án/công trình/thi công Sản xuất,1 năm,Bắc Ninh & 2 nơi khác,25-99 nhân viên,12 - 16 triệu,"1. Khảo sát, tính toán, lên phương án thiết kế hệ thống điện mặt trời. Giám sát thi công lắp và nghiệm thu xuyên suốt công trình.
2. Bóc tách khối lượng, chuẩn bị và chịu trách nhiệm vật tư, nhân sự tại dự án.
3. Lập kế hoạch và điều hành tổng thể các công tác thi công tại công trình, triển khai các công việc cho tổ, đội thi công.
4. Chịu trách nhiệm xử lý các công việc tại công trình (bao gồm báo cáo, ghi chép nhật ký công trình hàng ngày, tiến độ chất lượng ,kiểm tra an toàn....
5. Thực hiện các công việc khác theo yêu cầu của Ban giám đốc.","1. Tốt nghiệp Cao đẳng, đại học các trường khối kỹ thuật: chuyên nghành kỹ thuật điện, cơ điện tử, kỹ thuật xây dựng.
2. Sử dụng thành thạo tin học văn phòng (Word, Excell, và các phần mềm thiết kế Kỹ thuật)
3. Có khả năng đọc bản vẽ triển khai thi công.
4. Có kinh nghiệm ít nhất 1 năm trở lên tại các vị trí tương đương (đặc biệt trong ngành dự án năng lượng mặt trời, đã có kinh nghiệm làm việc với các Quỹ đầu tư).
5. Tiếng Anh cơ bản là một lợi thế.
6. Sẵn sàng đi công tác tỉnh, làm việc độc lập tại dự án..
7. Nhanh nhẹn, sáng tạo, thích ứng nhanh với công việc.Xác định làm việc nghiêm túc & gắn bó lâu dài.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-thuong-mai-h2t-ha-noi-a67db0e5350b188a44ca033249fdf4fc-64e5697d4bc88.jpg,https://www.topcv.vn/viec-lam/ky-thuat-giam-sat-thi-cong-du-an-dien-mat-troi/1660332.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN DỊCH VỤ BẤT ĐỘNG SẢN ĐẤT XANH,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales B2B B2C B2G Có hỗ trợ Data Phát âm chuẩn,Không yêu cầu,Hồ Chí Minh,1000+ nhân viên,Tới 20 triệu,"Chúng tôi không chỉ tìm kiếm một nhân sự – chúng tôi đang tìm kiếm những người cộng sự để cùng kiến tạo chuẩn mực mới trong lĩnh vực bất động sản.
Tại sao là Opus Realty?
Một môi trường chuẩn hóa – đẳng cấp – minh bạch – sáng tạo. Nơi bạn không đơn thuần đi làm, mà đang từng bước kiến thiết sự nghiệp vững vàng trong ngành bất động sản cao cấp.
• MÔ TẢ CÔNG VIỆC
- Tiếp nhận khách hàng từ hệ thống data có sẵn (website, kênh marketing nội bộ).
- Tư vấn và dẫn dắt khách hàng trải nghiệm sản phẩm căn hộ phù hợp nhu cầu.
- Thương lượng, đàm phán và hỗ trợ hoàn tất thủ tục ký kết hợp đồng.
- Cập nhật tiến trình giao dịch/ báo cáo công việc trên hệ thống phần mềm quản lý chuyên nghiệp.
- Chủ động khai thác khách hàng qua nền tảng mạng xã hội ( quay dựng video, nội dung sáng tạo...), mở rộng tệp khách từ nhiều nguồn.","- Từ 20 tuổi trở lên, tốt nghiệp THPT (ưu tiên cao đẳng/đại học).
- Có tinh thần cầu tiến, ham học hỏi và chủ động phát triển bản thân.
- Giao tiếp tốt, năng động, ứng biến linh hoạt.
- Có laptop & phương tiện cá nhân để phục vụ công việc
- Không yêu cầu kinh nghiệm – bạn sẽ được đào tạo từ A-Z bởi đội ngũ chuyên gia trong ngành.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/Hjjai3GTVIx28sVQoeBlgWKHZrXDr4nl_1728037731____844343fbd5bcd69ea707838991e853db.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-tai-ho-chi-minh-luong-co-ban-8-20-trieu-thang-hoa-hong-thuong-nong/1702764.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN DỊCH VỤ MÔI GIỚI VIETNAM LAND,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales Bán hàng tại cửa hàng/showroom B2B B2C B2G Bất động sản Ngân hàng Tài chính,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,25 - 80 triệu,"● Tìm kiếm, khai thác, phát triển khách hàng thị trường bất động sản
● Data có sẵn, HỖ TRỢ CHỐT DEAL (Công ty sẽ chạy truyền thông MKT và chuyển số điện thoại khách hàng có nhu cầu mua BĐS hàng ngày )
● Chăm sóc khách hàng được cung cấp từ các nguồn MKT của công ty
● Tiếp nhận điện thoại, khai thác thông tin, nhu cầu của khách hàng
● Giải quyết thắc mắc của khách hàng trước và sau khi giao dịch (trong phạm vi của nhân viên kinh doanh).

VietNam Land với đa dạng sản phẩm: Vingroup; Novaland; Vinhomes; Masterise Homes; Hồng Hà; Đất Xanh, KDI Holdings vv...","● Ưu tiên có kinh nghiệm Bán hàng, Bất động sản, Tài chính, Bảo hiểm
● KHÔNG yêu cầu kinh nghiệm - sẽ được đào tạo từ cơ bản đến chuyên nghiệp
● Khả năng thích nghi và làm việc nhóm tốt
● Đam mê kinh doanh và kiếm tiền
● Giao tiếp tốt, nhiệt tình, có khả năng xử lí vấn đề",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/680a10ea582561745490154.jpg,https://www.topcv.vn/viec-lam/chuyen-vien-bat-dong-san-tu-van-can-ho-sales-bat-dong-san-nhan-vien-kinh-doanh-cham-soc-khach-hang-khong-can-di-du-an-chi-nhan-hotline-chot-khach-ho-chi-minh/1700346.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THIÊN KHÔI,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales B2B B2C Có hỗ trợ Data,Không yêu cầu,Hồ Chí Minh,5000+ nhân viên,50 - 100 triệu,"- Xem nhà và đánh giá tính thanh khoản nguồn nhà phố quanh khu vực mình bán (ưu tiên gần nơi mình ở).
- Tìm kiếm khách hàng có nhu cầu mua nhà trong hệ sinh thái có sẵn và lựa chọn các căn nhà phù hợp cho khách.
- Gặp khách hàng, tư vấn và đưa khách đi xem nhà.
- Kết nối khách mua và chủ bán đàm phán, chốt giao dịch. Luôn có đội ngũ pháp lý, xây dựng,... hỗ trợ từng thương vụ.","- Nhiệt huyết, ham học hỏi, chịu khó
- Có phương tiện đi lại.
- Có Smartphone.
- Giao tiếp tốt là một lợi thế, nhanh nhẹn, lịch sự, chuyên nghiệp.
- Yêu thích lĩnh vực kinh doanh, có mong muốn kiếm nhiều tiền chân chính.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-bat-dong-san-thien-khoi-634ccb1ed604a.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-bat-dong-san-nhan-vien-tu-van-bds-thu-nhap-tren-50-trieu-tu-do-thoi-gian-nguon-nha-nguon-khach-co-san/1674359.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY TNHH SƠN DDM VIỆT NAM,Chuyên môn Kinh doanh nội thất Direct Sales Telesales Online Sales B2B B2C Xây dựng Có hỗ trợ Data Phát âm chuẩn Diễn đạt trôi chảy,2 năm,Hà Nội,25-99 nhân viên,12 - 18 triệu,"Công ty TNHH Sơn DDM Việt Nam đang tìm kiếm Nhân viên Kinh doanh có đam mê phát triển thị trường trong lĩnh vực Sơn cao cấp. Bạn sẽ chịu trách nhiệm tìm kiếm, chăm sóc và tư vấn cho các đối tượng khách hàng như: kiến trúc sư, tổng thầu xây dựng, chủ nhà biệt thự và công trình dân dụng có nhu cầu sử dụng sơn đá, sơn hiệu ứng. Ngoài ra, bạn sẽ tham gia phát triển thương hiệu qua các kênh truyền thông như Facebook Reels, YouTube và TikTok bằng cách đăng tải nội dung hình ảnh, video sản phẩm, công trình.
________________________________________
Trách Nhiệm Chính
• Tìm kiếm và phát triển tệp khách hàng tiềm năng.
• Tư vấn sản phẩm, lên giải pháp vật liệu phù hợp với từng công trình.
• Phối hợp triển khai các chiến dịch marketing, đăng bài quảng bá sản phẩm trên nền tảng mạng xã hội.
• Phân tích thị trường và báo cáo xu hướng tiêu dùng.
• Tham gia gặp gỡ trực tiếp khách hàng có nhu cầu tại Hà Nội hoặc các tỉnh, các dự án công trình thực tế.","• Tối thiểu 2 năm kinh nghiệm ở vị trí nhân viên kinh doanh phát triển thị trường ( ưu tiên ngành vật liệu xây dựng, nội – ngoại thất hoặc sơn.)
• Giới Tính: Nam
• Tuổi từ: 23-33.
•",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-son-ddm-viet-nam-640a884806821.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-mang-son-da-son-hieu-ung-thu-nhap-12-18-trieu-tai-ha-noi/1715550.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
